author,pd_year,candidate_title,source_url,status,reviewer,notes
Saralabala Sarkar,2022,Sahitya-jigyasa (1958),https://archive.org/details/in.ernet.dli.2015.298279,ready,,"Verified edition in verified-2025-11-02; Mitra & Ghosh imprint logged, PD India 2022 (d.1961), URAA 2053."
Charu Chandra Bhattacharya,2022,Bigyan Prabesh Prarambha (1949),https://archive.org/details/in.ernet.dli.2015.300065,ready,,"Ready draft in verified-2025-11-02; Bangiya Bigyan Parishad imprint confirmed, PD India 2022, URAA 2044."
Charu Chandra Bhattacharya,2022,Jayanti Utsargo (1931),https://archive.org/details/in.ernet.dli.2015.291008,ready,,"Anthology summary in verified-2025-11-02; contributors pre-1960, PD India/US, Rabindra-Parichay Sabha context documented."
Rathindranath Tagore,2022,"Buddha Charit, Vol. 1 (Bengali translation, 1944)",https://archive.org/details/in.ernet.dli.2015.290212,ready,,"Ready draft in verified-2025-11-02; Visva-Bharati edition summarised, PD India 2022 (d.1961), URAA 2039."
Suryakant Tripathi 'Nirala',2022,Anamika (1948),https://archive.org/details/in.ernet.dli.2015.345935,ready,,"Drafted in verified-2025-11-02; late-Chhayavād analysis, PD India 2022 (d.1961), URAA 2043."
R. P. Sethu Pillai,2022,Vazhivazhi Valluvar (1953),https://archive.org/details/in.ernet.dli.2015.496793,ready,,"Ready in verified-2025-11-02; Tirukkural ethics mapped, PD India 2022 (d.1961), URAA 2048."
R. P. Sethu Pillai,2022,Tamil Virundhu (1946),https://archive.org/details/dli.jZY9lup2kZl6TuXGlZQdjZhd.TVA_BOK_0000545,ready,,"Ready in verified-2025-11-02; lecture collection described, PD India 2022, URAA 2041."
Nalin Vilochan Sharma,2022,Sahitya Ka Itihas-Darshan (1960),https://archive.org/details/in.ernet.dli.2015.479313,ready,,"Ready in verified-2025-11-02; historiography overview, PD India 2022 (d.1961), URAA 2055."
Nalin Vilochan Sharma,2022,Hindi Gadhya Ki Pravatiya,https://archive.org/details/in.ernet.dli.2015.482938,ready,,"Ready in verified-2025-11-02; prose taxonomy summarised, PD India 2022 (d.1961), URAA 2045."
Sripada Krishnamurty Sastry,2021,Bobbili Yuddha Natakamu (1922),https://archive.org/details/bd64e376cb94f5aef639a29c9ebcfd2175e65283,ready,,"Ready in verified-2025-11-02; Telugu historical drama captured, PD India 2021 (d.1960), US PD pre-1927."
