Filename,Wave,Strategy,Review Status,Notes
"the-apastambiya-grihyasutra-winternitz-m.md",1,Wave-Based,,
"the-sacred-book-of-the-east-vol-xxi-f-max-muller.md",1,Wave-Based,,
"sakuntala-recognized-by-the-ring-kalidasa-monier-williams.md",1,Wave-Based,,
"the-apastambiya-grihyasutra-m-winternitz.md",1,Wave-Based,,
"report-of-a-tour-in-eastern-rajputana-1882-1883-cunningham-a.md",1,Wave-Based,,
"vedic-mythology-macdonell-arthur-anthony.md",1,Wave-Based,,
"report-of-a-tour-in-the-central-provinces-1873-75-cunningham-alexander.md",1,Wave-Based,,
"the-sacred-books-of-the-east-vol-vii-f-max-muller.md",1,Wave-Based,,
"the-hymns-of-the-rigveda-in-the-pada-text-f-max-muller.md",1,Wave-Based,,
"the-sacred-books-the-east-vol-xxxiii-f-max-muller.md",1,Wave-Based,,
"a-bibliography-of-the-sanskrit-drama-schuyler-montgomery-1877.md",2,Wave-Based,,
"kuruntokai-m-kamalakannan.md",2,Wave-Based,,
"bhaarat-kashtanivaarak-mahishadhi-sharmaa-raamarakshhapaal.md",2,Wave-Based,,
"janaki-parinayam-malayalam-drama-chathukkutty-mannadiyar.md",2,Wave-Based,,
"lele-madhavarava-vya-ka-e-a.md",2,Wave-Based,,
"ndhrikruta-abhig-na-kuntalamu-k-lid-su-venka-ar-ya-stri-v-da.md",2,Wave-Based,,
"10-part-1-bhagavatam-dashama-skandam-poorva-ba-a-v-narasimhacharya.md",2,Wave-Based,,
"t-vaiyul-palapa-aic-cokkan-taka-kavir-yar.md",2,Wave-Based,,
"the-beginnings-of-hindu-pantheism-an-address-delivered-at-the-twenty-second-annual-meeting-of-charle.md",2,Wave-Based,,
"tib-rahimi.md",2,Wave-Based,,
"rafiq-bimaaran.md",2,Wave-Based,,
"the-law-of-inheritance-as-in-the-viramitrodaya-of-mitra-misra.md",2,Wave-Based,,
"troilokyanath-mukhopadhyay-rachanasangraha-troilokyanath-mukhopadhyay.md",2,Wave-Based,,
"volume-38-number-10-october-1920-theodore-presser-company.md",2,Wave-Based,,
"history-of-bengali-literature-in-the-nineteenth-century-1800-1825-microform-de-sushil-kumar.md",2,Wave-Based,,
"chikitsa-chandrodaya-part-1-babu-haridas-vaidya-ji.md",2,Wave-Based,,
"4-tamil-bhagavatam-chadurta-skandam-a-v-narasimhacharya.md",2,Wave-Based,,
"anecdotes-of-virtue-and-valour.md",2,Wave-Based,,
"das-gopatha-brahmana-gaastra-dieuke.md",2,Wave-Based,,
"the-indian-antiquary-vol-xxi-richard-carnac-temple.md",6,Wave-Based,,
"epigraphia-indica-vol-7-desai-z-a.md",6,Wave-Based,,
"epigraphia-indica-vol-x-dasia-z-a.md",6,Wave-Based,,
"epigraphia-indica-vol-vii-e-hultzsch.md",6,Wave-Based,,
"gazetteer-of-the-province-of-oudh-vol-1-oudh-india.md",6,Wave-Based,,
"epigraphia-indica-vol-iii-1894-95-hultzsch-e.md",6,Wave-Based,,
